date,ppt,ppt_inmet
2003-01-01,2399.0,158.4
2003-02-01,338.0,23.400000000000002
2003-03-01,515.0,37.2
2003-04-01,74.0,3.2
2003-05-01,76.0,5.199999999999999
2003-06-01,0.0,0.0
2003-07-01,0.0,0.0
2003-08-01,181.0,9.2
2003-09-01,8.0,0.2
2003-10-01,584.0,49.199999999999996
2003-11-01,717.0,53.00000000000001
2003-12-01,2080.0,177.4
2004-01-01,1857.0,247.6
2004-02-01,3331.0,276.8
2004-03-01,1981.0,165.6
2004-04-01,729.0,53.800000000000004
2004-05-01,56.0,4.6000000000000005
2004-06-01,228.0,17.8
2004-07-01,231.0,11.799999999999999
2004-08-01,0.0,0.0
2004-09-01,0.0,0.0
2004-10-01,287.0,21.8
2004-11-01,1038.0,27.200000000000003
2004-12-01,2967.0,249.0
2005-01-01,2170.0,191.4
2005-02-01,2521.0,181.0
2005-03-01,1408.0,104.0
2005-04-01,189.0,13.200000000000001
2005-05-01,309.0,11.0
2005-06-01,46.0,0.6
2005-07-01,1.0,0.2
2005-08-01,19.0,1.2
2005-09-01,288.0,1.6
2005-10-01,681.0,53.6
2005-11-01,3081.0,70.2
2005-12-01,2932.0,247.4
2006-01-01,431.0,41.6
2006-02-01,725.0,15.2
2006-03-01,3434.0,247.0
2006-04-01,2289.0,139.0
2006-05-01,43.0,0.8
2006-06-01,2.0,1.0
2006-07-01,0.0,0.7999999999999999
2006-08-01,74.0,3.0
2006-09-01,701.0,55.6
2006-10-01,1111.0,85.8
2006-11-01,2958.0,241.20000000000002
2006-12-01,1978.0,169.2
2007-01-01,1223.0,116.2
2007-02-01,2788.0,236.6
2007-03-01,285.0,21.799999999999997
2007-04-01,216.0,14.200000000000001
2007-05-01,27.0,2.0
2007-06-01,0.0,0.0
2007-07-01,1.0,0.0
2007-08-01,0.0,0.0
2007-09-01,1.0,0.0
2007-10-01,185.0,11.399999999999999
2007-11-01,828.0,62.8
2007-12-01,1186.0,89.0
2008-01-01,1225.0,117.0
2008-02-01,1751.0,142.79999999999998
2008-03-01,2647.0,219.6
2008-04-01,990.0,69.4
2008-05-01,50.0,3.4
2008-06-01,0.0,0.2
2008-07-01,0.0,0.0
2008-08-01,83.0,0.0
2008-09-01,156.0,9.0
2008-10-01,47.0,0.0
2008-11-01,3283.0,252.4
2008-12-01,4029.0,235.6
2009-03-01,778.0,46.2
2009-04-01,729.0,59.8
2009-05-01,72.0,6.6000000000000005
2009-06-01,4.0,0.2
2009-07-01,0.0,0.0
2009-08-01,6.0,0.2
2009-09-01,554.0,46.2
2009-10-01,3587.0,259.0
2010-06-01,0.0,0.0
2010-07-01,0.0,0.2
2010-08-01,0.0,0.0
2010-09-01,55.0,3.2
2010-10-01,1039.0,88.6
2010-11-01,3250.0,243.6
2010-12-01,2812.0,290.4
2011-01-01,1551.0,149.6
2011-02-01,150.0,9.2
2011-03-01,1921.0,177.2
2011-04-01,750.0,68.6
2011-05-01,118.0,9.6
2011-06-01,2.0,0.0
2011-07-01,0.0,0.0
2011-08-01,0.0,0.0
2011-09-01,0.0,0.0
2011-10-01,981.0,82.2
2011-11-01,2116.0,154.6
2011-12-01,4216.0,198.4
2012-01-01,1389.0,134.6
2012-02-01,92.0,5.2
2012-03-01,503.0,39.0
2012-04-01,242.0,15.2
2012-05-01,529.0,36.8
2012-06-01,6.0,0.8
2012-07-01,34.0,2.0
2012-08-01,86.0,5.0
2012-09-01,117.0,9.4
2012-10-01,337.0,27.8
2012-11-01,3022.0,264.6
2012-12-01,413.0,36.2
2013-01-01,2757.0,306.0
2013-02-01,100.0,4.0
2013-03-01,44.0,59.8
2013-04-01,1106.0,79.2
2013-05-01,22.0,0.0
2013-06-01,21.0,2.0
2013-07-01,0.0,0.0
2013-08-01,0.0,0.0
2013-09-01,428.0,37.2
2013-10-01,868.0,69.8
2013-11-01,2057.0,200.2
2013-12-01,4182.0,418.8
2014-01-01,243.0,23.6
2014-02-01,160.0,12.6
2014-03-01,853.0,75.4
2014-04-01,491.0,34.6
2014-05-01,32.0,2.0
2014-06-01,26.0,1.8
2014-07-01,7.0,0.0
2014-08-01,1.0,0.0
2014-09-01,34.0,2.8
2014-10-01,952.0,74.0
2014-11-01,1631.0,117.2
2014-12-01,1007.0,69.4
2015-01-01,50.0,0.0
2015-02-01,1070.0,74.2
2015-03-01,1439.0,101.8
2015-04-01,759.0,26.599999999999998
2015-05-01,133.0,4.8
2015-06-01,1.0,0.0
2015-07-01,1.0,0.2
2015-08-01,17.0,1.0
2015-09-01,11.0,0.0
2015-10-01,67.0,3.0
2015-11-01,1153.0,67.0
2015-12-01,699.0,66.0
2016-01-01,3777.0,469.8
2016-02-01,261.0,6.4
2016-03-01,436.0,32.0
2016-04-01,86.0,5.8
2016-05-01,61.0,5.6
2016-06-01,53.0,0.6
2016-07-01,0.0,0.0
2016-08-01,1.0,0.0
2016-09-01,185.0,14.200000000000001
2016-10-01,1082.0,102.2
2016-11-01,1435.0,101.4
2016-12-01,1009.0,80.2
2017-01-01,558.0,60.4
2017-02-01,1501.0,153.0
2017-03-01,1033.0,93.60000000000001
2017-04-01,100.0,1.0
2017-05-01,188.0,16.0
2017-06-01,8.0,0.0
2017-07-01,0.0,0.4
2017-08-01,0.0,0.0
2017-09-01,38.0,0.0
2017-10-01,339.0,23.6
2017-11-01,2314.0,55.8
2017-12-01,2409.0,251.0
2018-02-01,2198.0,319.6
2018-03-01,1484.0,106.0
2018-04-01,424.0,39.4
2018-05-01,149.0,11.799999999999999
2018-06-01,0.0,0.0
2018-07-01,1.0,0.0
2018-08-01,49.0,1.8
2018-09-01,37.0,1.4
2018-10-01,1288.0,108.39999999999999
2018-11-01,1640.0,119.60000000000001
2018-12-01,1931.0,165.6
2019-01-01,38.0,0.0
2019-02-01,1196.0,84.2
2019-03-01,1320.0,187.2
2019-04-01,216.0,39.4
2019-05-01,126.0,7.6
2019-06-01,6.0,0.0
2019-07-01,12.0,0.0
2019-08-01,26.0,0.6000000000000001
2019-09-01,131.0,38.0
2019-10-01,413.0,54.0
2019-11-01,1140.0,113.2
2019-12-01,1428.0,136.4
2020-01-01,3678.0,298.8
2020-02-01,1462.0,64.8
2020-03-01,2163.0,186.4
2020-04-01,734.0,27.400000000000002
2020-05-01,358.0,43.6
2020-06-01,11.0,0.8
2020-07-01,21.0,0.2
2020-08-01,21.0,0.0
2020-09-01,46.0,2.0
2020-10-01,1255.0,151.4
2020-11-01,1057.0,160.8
2020-12-01,1325.0,89.0
2021-01-01,618.0,28.0
2021-02-01,3277.0,116.2
2021-11-01,2817.0,46.6
2021-12-01,2627.0,334.8
2022-01-01,2325.0,166.2
2022-02-01,1886.0,141.8
2022-03-01,66.0,1.2000000000000002
2022-04-01,328.0,66.39999999999999
2022-05-01,38.0,3.8000000000000003
2022-06-01,1.0,0.0
2022-07-01,0.0,0.0
2022-08-01,4.0,0.0
2022-09-01,55.0,4.6
2022-10-01,347.0,33.6
2022-11-01,2654.0,266.0
2022-12-01,3082.0,271.8
2023-01-01,2098.0,314.0
2023-02-01,83.0,2.6
2023-03-01,92.0,0.0
2023-04-01,431.0,59.4
2023-05-01,13.0,0.0
2023-06-01,4.0,0.2
2023-07-01,14.0,6.2
2023-08-01,126.0,20.8
2023-09-01,69.0,6.999999999999999
2023-10-01,470.0,183.0
2023-11-01,354.0,146.4
2023-12-01,2474.0,125.0
2024-01-01,2452.0,272.6
2024-02-01,2504.0,306.6
2024-03-01,977.0,18.400000000000002
2024-04-01,549.0,89.8
2024-05-01,13.0,0.0
2024-06-01,4.0,0.0
2024-07-01,0.0,0.0
2024-08-01,15.0,0.0
2024-09-01,8.0,0.0
2024-10-01,1235.0,89.0
2024-11-01,2570.0,190.2
2024-12-01,1384.0,129.2
